,standard_dGr_prime,SD
MAR03905,19.89571434588661,0.7791833877563477
MAR03907,19.89567810679085,0.7791697382926941
MAR04097,-5.700142554449894,0.38188716769218445
MAR04099,-5.61801202860066,0.38185960054397583
MAR04108,-21.20018323665933,3.5843005180358887
MAR04133,15.499998243702358,3.610133409500122
MAR04281,-26.005712509155273,0.4858242869377136
MAR04388,-26.005294773798337,0.48582717776298523
MAR04283,-45.59287730669033,1.219343900680542
MAR08357,-45.58721227566926,1.2193443775177002
MAR04379,-15.87959973052029,0.6767526865005493
MAR04301,-15.879508437999249,0.6767160296440125
MAR04355,-16.299561998199017,1.5425159931182861
MAR04358,-26.404101575106257,0.4899821877479553
MAR04360,-22.912131813162286,3.0387370586395264
MAR04363,-3.472457067116915,0.2743545472621918
MAR04365,-4.5207770977222665,0.3453405797481537
MAR04368,-19.595213401545642,0.5562766790390015
MAR04370,-45.63719262947799,0.61506187915802
MAR04371,-29.667202552017578,0.8892132639884949
MAR04372,-15.96997863336861,0.6525421142578125
MAR04373,-2.6331391335033842,0.6256254315376282
MAR04375,-21.90390966496651,0.44609928131103516
MAR04377,-10.162397617224064,0.7331284880638123
MAR04381,-0.20519763101905752,0.21154257655143738
MAR04391,5.084238628462931,0.4433254301548004
MAR04394,-15.339438230890732,0.36131551861763
MAR04396,-6.915361240750279,0.6456161141395569
MAR04521,-10.702525738252548,0.45862099528312683
MAR06412,6.4065357461036285,3.485684871673584
MAR07745,3.0517577442878974e-07,3.036461066585616e-06
MAR07747,-13.953526738862408,0.3563230335712433
MAR08360,-302.07000732421875,4.050452709197998
MAR08652,-32.39098886587875,2.938873767852783
MAR08757,-438.4946278318154,2.1751291751861572
MAR03989,-13.16793160729027,0.7967653870582581
MAR04122,-13.129932497796993,1.8870892524719238
MAR04837,-13.798353082798577,1.149564504623413
MAR05395,,
MAR05396,,
MAR09727,,
MAR05397,,
MAR05398,,
MAR05399,,
MAR05400,,
MAR05401,,
MAR08568,-12.962330352078823,0.7750764489173889
MAR08569,-13.168020539075997,0.7967818975448608
MAR08570,,
MAR08571,,
MAR08572,,
MAR08573,,
MAR08574,,
MAR08575,,
MAR08576,,
MAR08577,,
MAR08578,-12.962277870471674,0.7750920653343201
MAR08579,-13.167946850976193,0.7967674136161804
MAR08581,-13.167922000897399,0.7967920303344727
MAR08591,-13.167828888165506,0.7967876195907593
MAR08592,-13.167682731493045,0.7967944145202637
MAR08580,-12.962267177802989,0.775114119052887
MAR08582,-12.756707339154708,0.810058057308197
MAR08587,-13.167835528251324,0.7967662811279297
MAR08589,-13.167677725372187,0.7967657446861267
MAR08583,-105.34366304871784,6.374207019805908
MAR08584,-7.571523207810664,0.7480502724647522
MAR08585,-36.03236859782328,0.6436734199523926
MAR03944,-2.5145283318937075,0.1445331573486328
MAR04128,-9.765624781721272e-06,4.784160410054028e-05
MAR04130,-8.42408318902351,0.5723179578781128
MAR04131,-2.441406195430318e-06,0.00011185264156665653
MAR04132,1.9531249563442543e-05,0.000107421881693881
MAR04303,-22.75955099838279,1.7275619506835938
MAR04414,-8.424076513303294,0.5723188519477844
MAR04415,-13.16793160729027,0.7967676520347595
MAR04416,-7.571545809996742,0.7480505108833313
MAR04774,15.879532404202145,0.6767060160636902
MAR04775,-15.879551281779662,0.6767103672027588
MAR04831,23.89755178581752,2.9412801265716553
MAR04832,13.084711203219264,0.9503517746925354
MAR07674,-16.420911062167704,1.1240507364273071
MAR08761,-16.556047099669073,1.0232429504394531
MAR08762,20.56941474601431,0.8895295262336731
MAR08764,-13.167677725372187,0.7967655062675476
MAR08766,-17.73393686285298,0.6528845429420471
MAR08767,-2.5145137883603823,0.14454258978366852
MAR00454,-14.545100996870826,0.6098802089691162
MAR04297,2.418938193836105,4.72324275970459
MAR04310,-15.922077320449205,0.6767410635948181
MAR04315,17.939536719659888,0.6933839321136475
MAR04316,17.733940677550244,0.6528634428977966
