,standard_dGr_prime,SD
10FTHF5GLUtl,-430.6085312574481,3.240472506149672e-05
10FTHF5GLUtm,-286.03735426440795,3.0326244086609222e-05
10FTHF6GLUtl,-517.6016266783913,4.48971550213173e-05
10FTHF6GLUtm,-342.01364910236055,3.8116442738100886e-05
10FTHF7GLUtl,-570.6006797608544,4.6076489525148645e-05
10FTHF7GLUtm,-379.8559127500298,5.4928252211539075e-05
10FTHFtl,-211.77233145619255,1.9692708519869484e-05
10FTHFtm,125.96267342218431,2.0919571397826076e-05
11DOCRTSLtm,136.91864144477648,1.914598215080332e-05
11DOCRTSLtr,-2.441406195430318e-06,1.9145980331813917e-05
11DOCRTSTRNtm,136.91869739981524,1.7263348127016798e-05
11DOCRTSTRNtr,0.0,2.441406286379788e-05
13DAMPPOX,-126.73295811587919,42.189117431640625
1a_24_25VITD2Hm,-413.30153647926545,8.06204605102539
1a_24_25VITD3Hm,-413.3014447060797,8.062054634094238
1a_25VITD2Hm,-414.9571230100513,9.093533515930176
1a_25VITD3Hm,-407.71132856375334,7.869256973266602
1MNCAMti,-13.93635028063929,0.37807950377464294
1PPDCRp,-46.45083999633789,7.616423606872559
24_25DHVITD2t,50.20352129295229,3.6600740713765845e-05
24_25DHVITD2tm,-200.81408171315007,3.208847556379624e-05
24_25DHVITD3t,50.20351943365579,2.7048970878240652e-05
24_25DHVITD3tm,-200.81409065955435,2.441406286379788e-05
24_25VITD2Hm,-414.95712194481575,9.093579292297363
24_25VITD3Hm,-407.7113887541255,7.869264602661133
24NPHte,-5.053353067586656,1.9069668724114308e-06
25HVITD2t,50.203527097279284,4.032017750432715e-05
25HVITD2tin,-50.203527097279284,4.032017750432715e-05
25HVITD2tin_m,200.81409251991704,5.031606997363269e-05
25HVITD2tm,-200.81409251991704,5.031606997363269e-05
25HVITD3t,50.20352587657144,3.4440272429492325e-05
25HVITD3tin_m,200.81409374057688,2.9900997105869465e-05
25HVITD3tm,-200.81409374057688,2.9900997105869465e-05
25VITD2Hm,-413.3015048964519,8.062068939208984
25VITD3Hm,-413.3015048964519,8.062073707580566
2AMACHYD,-42.97147410439683,70.93453979492188
2AMACSULT,-123.66032608314319,29.27696990966797
2AMADPTm,12.369480013361617,1.7220138033735566e-05
2DR1PP,-16.792277341069465,1.2779039144515991
2HBO,21.639882808120426,1.1072947978973389
2HBt2,-9.128476171645683,6.244929409149336e-06
2HCO3_NAt,1.6317480914659015,0.0
2MCITt,-0.5960660176861889,1.0553964784776326e-05
2OXOADOXm,-31.28282580355301,2.2536487579345703
2OXOADPTm,9.128404391326498,1.7263348127016798e-05
34DHOXPEGOX,-24.290860788063036,4.10431432723999
34DHOXPEGt,11.395817202111626,5.394796517066425e-06
34DHPHAMT,-6.0973051678693775,34.68104934692383
34DHPHEt,-12.520374193353742,3.40855535796436e-06
34DHPLACOX,-41.89433604985453,2.8730456829071045
34DHPLACOX_NADP_,-31.101729158023698,8.297520637512207
34DHXMANDACOX,-41.2552956398561,3.400791883468628
34DHXMANDACOX_NADP_,-30.462694470071163,8.339475631713867
34HPLFM,-18.048617269281138,1.5521076917648315
34HPPOR,-463.6684431361922,6.290635585784912
35CGMPtn,1.220703097715159e-06,1.2145843356847763e-05
3AIBTm,-5.601430065872471,2.236640691757202
3AIBtmi,-41.06761333203656,6.244461928872624e-06
3DPHBH1,-402.6466153576118,6.192434310913086
3DPHBH2,-413.84347687264653,9.410324096679688
3DSPHR,-25.450423849069495,9.247461318969727
3HAO,-323.04965376161636,10.840622901916504
3HBCDm,-4.369713826767452,1.0436267852783203
3HBCOAHLm,-23.135449654132017,3.6420984268188477
3HKYNAKGAT,9.104211543813342,2.1425247192382812
3HLYTCL,-17.732738134666317,41.64867401123047
3HPCOAHYD,-29.031705509206176,1.155800700187683
3HPPD,22.980681268486435,1.4897165298461914
3HXKYNDCL,-18.619992925090994,41.80881118774414
3HXKYNOXDA,-179.89859578128292,46.445465087890625
3M4HDXPAC,-41.89451274182131,2.8730456829071045
3MLDAt,5.614951633571312,2.638490968820406e-06
3MOBt2im,36.51196322830776,0.0
3MOPt2im,45.6400011119173,6.635380032093963e-06
3MOX4HOXPGALDOX,-41.2556610552415,3.4007790088653564
3MOX4HOXPGALDOX_NADP_,-30.46305416341066,8.339471817016602
3MOXTYROX,-127.63086003958904,69.62351989746094
3NTD7l,-28.246066350477903,1.9548468589782715
3SALAASPm,-14.840255719153475,0.0
3SALACBOXL,-21.234374522107153,3.008979320526123
3SALAOX,-511.7858415180278,21.52855110168457
3SALATAi,-4.978629728678392,7.011375904083252
3SALATAim,-9.436804497940642,7.011374473571777
3SPYRSP,-4.29051977798307,22.604822158813477
3SPYRSPm,-2.722937181721548,22.604822158813477
41R1H2MAE12BOOX,-112.83562836736365,22.679250717163086
41R2A1H12BOOX,-126.1601836883276,43.217674255371094
42A12BOOX,-129.93516969392311,42.36003875732422
4ABUTtm,41.06724369988963,5.2962504923925735e-06
4HBZCOAFm,-9.06606830113573,10.412184715270996
4HBZFm,-30.27544854710716,10.388778686523438
4HDEBRISOQUINEte,-18.86838497976526,1.7089843822759576e-05
4HGLSDm,-41.633543913543576,1.2734684944152832
4HOXPACDOX_NADP_,-31.101439898534693,8.29752254486084
4MOPt2im,45.640010096935406,5.002928446629085e-06
4MPTNLte,13.691869722289775,3.036461066585616e-06
4MPTNLtm,54.76748010828106,4.315837031754199e-06
4MPTNLtr,-3.0517577442878974e-07,3.036461066585616e-06
4MTOLBUTAMIDEte,-19.39438957764591,1.467622678319458e-05
4NPHSFte,-1.6694063708436486,8.068423085205723e-06
4NPHSULT,-63.474258713461865,22.523792266845703
4NPHte,-4.989609397387088,4.011058535979828e-06
4PYRDX,-16.91353100140759,0.3780844509601593
5ADTSTSTERONEGLCte,16.17485555670943,0.378085196018219
5ADTSTSTERONEGLCtr,-2.136230477844947e-06,1.9423667254159227e-05
5ADTSTSTERONESte,30.194138344973744,2.7186351871932857e-05
5ADTSTSTERONESULT,-49.82252477119635,9.782783508300781
5ADTSTSTERONEte,-34.229676290144354,3.227369234082289e-05
5ADTSTSTERONEtr,0.0,2.9900997105869465e-05
5AOPtm,39.353474646097915,4.350093604443828e-06
5DHFtl,-447.6048599707953,3.9319147617788985e-05
5FTHFt2,-15.889286522471721,1.6363228496629745e-05
5HLTDL,-17.738255386175442,41.6486701965332
5HOMEPRAZOLEte,-21.66766995683522,1.0553964784776326e-05
5HOXINDACTO2OX,-178.31792060427998,5.367910861968994
5HOXINDACTOXm,-41.88891559400392,2.873046398162842
5HOXINOXDA,-131.56446524192435,42.36381912231445
5HTRPDOX,-356.859444812879,13.811861038208008
5HTRPVESSEC,-12.373516175070817,0.3780827820301056
5HXKYNDCL,-18.620155129558285,41.808815002441406
5HXKYNOXDA,-197.89826733593318,46.14689636230469
5MTHFt,-23.43153314259903,2.6832916773855686e-05
5MTHFt2,-21.149555036905838,2.6832916773855686e-05
5THFtl,-467.0057152055719,3.789098627748899e-05
5THFtm,-303.84093460219935,4.118290598853491e-05
6DHFtl,-498.0230288342389,3.622605072450824e-05
6DHFtm,-332.88878967850343,4.0599847125122324e-05
6HTSTSTERONEte,31.9476978860374,2.2804615582572296e-05
6HTSTSTERONEtr,-6.103515488575795e-07,1.3634222341352142e-05
6THFtl,-536.689369523855,3.2440631912322715e-05
6THFtm,-350.9532094845589,4.1378054447704926e-05
7DHCHSTEROLtr,2.441406195430318e-06,2.4291684894706123e-05
7DHFtl,-549.13131202763,5.308304389473051e-05
7DHFtm,-370.67959827457815,5.3275685786502436e-05
7THFtl,-587.1161433611636,4.641883060685359e-05
7THFtm,-388.9126540446868,3.76047937606927e-05
A_MANASE,-26.335675019149434,1.593545913696289
A_MANASEly,-26.33545649550939,1.5935454368591309
A4GALTc,,
A4GALTg,,
A4GNT1g,,
A4GNT2g,,
AACTOOR,-125.94322015083719,43.07621383666992
AACTtm,-19.852518227445277,1.053713003784651e-05
AASAD3m,-39.02527837626879,1.4513312578201294
AATAi,1.3758922036677674,0.9673332571983337
ABO1g,-45.469265842452444,8.741532325744629
ABO2g,-16.400861578510728,1.124051570892334
ABO3g,-18.37581971897299,1.4726108312606812
ABO4g,-47.44424591742404,8.8963623046875
ABO5g,-45.469284767410954,8.741508483886719
ABO6g,-45.46927511713176,8.741544723510742
ABO7g,,
ABO8g,,
ABO9g,-34.506410554824015,3.312251567840576
ABTArm,1.3048303744171363,1.5132783651351929
ABTD,22.395736950131564,0.7528675198554993
ABTti,13.691865214175415,3.036461066585616e-06
ABUTt2rL,95.39418555798159,6.935095370863564e-06
ABUTt4_2_r,-13.77669438294396,3.122464704574668e-06
ACACT10m,-21.024476064456223,2.495145559310913
ACACT1rm,27.875252726848032,1.0606387853622437
ACACT1x,27.752399444580078,1.0606224536895752
ACACt2m,27.38513248982773,4.272460955689894e-06
ACACT4p,-27.49323081970215,1.4464635848999023
ACACT5p,-27.493223190307617,1.4464638233184814
ACACT6p,-27.49321937561035,1.4464644193649292
ACACT7p,-27.49323081970215,1.446466088294983
ACACT8p,-27.493207931518555,1.4464703798294067
ACACT9p,-27.493227005004883,1.4464584589004517
ACACtx,-6.8637342673914565,7.4502904681139626e-06
ACALDtm,-18.25582669980609,0.0
ACALDtr,0.0,0.0
ACALDtx,4.563956675654791,0.0
ACCOACm,0.7881517212909444,2.2414252758026123
ACCOAgt,-158.03821697932432,2.3920800231280737e-05
ACCOALm,-9.790158322772555,0.785439670085907
ACCOAtn,0.0,3.4526696254033595e-05
ACCOAtr,0.0,2.441406286379788e-05
ACETONEt2,-10.881474640632785,3.2043453757069074e-06
ACETONEt2m,16.992521578884816,1.5182303059191327e-06
ACGAGBSIDEtg,,
ACGAGBSIDEtl,,
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-154.0333114551186,6.450336513807997e-05
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,654.6422017198627,5.692653212463483e-05
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,,
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,,
ACGALK,-9.078639526930552,0.9976720809936523
ACGALK2,-9.078658680432383,0.9976467490196228
ACGALtlg,69.81090223304757,5.205908564676065e-06
ACGALtly,141.59677727918196,6.466559625550872e-06
ACGAM6PSi,-13.990259166158427,9.1215181350708
ACGAMK,-15.251853904291352,0.36130577325820923
ACGAMPM,6.173217238383749,1.0380131006240845
ACGAMtly,141.59677560071512,8.10154051578138e-06
ACGBGBSIDEtg,-78.52735817240378,1.3981580195832066e-05
ACGBGBSIDEtl,-159.02389489452398,1.4900581845722627e-05
ACGPID,11.381770639029984,4.281613349914551
ACGSm,-4.083983739579253,7.6788649559021
ACHEe,-20.095166992915182,1.5006966590881348
ACHtn,-6.103515488575795e-07,4.272460955689894e-06
ACHVESSEC,-4.891596802183944,0.378083199262619
ACITL,9.18506000454001,0.4605155289173126
ACN13ACNGALGBSIDEte,,
ACN13ACNGALGBSIDEtg,,
ACN23ACNGALGBSIDEte,,
ACN23ACNGALGBSIDEtg,,
ACNACNGAL14ACGLCGALGLUSIDEte,,
ACNACNGAL14ACGLCGALGLUSIDEtg,,
ACNACNGALGBSIDEte,,
ACNACNGALGBSIDEtg,,
ACNAM9PL,-58.43402835563165,1.568389892578125
ACNAM9PL2,-61.71322999415704,1.2707536220550537
ACNAMlt,-180.15604633464403,1.0553964784776326e-05
ACNAMPH,-10.941126731191499,0.4586283266544342
ACNAMtn,-6.103515488575795e-07,1.0553964784776326e-05
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-131.32577407830613,7.790295785525814e-05
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,574.0941852001014,6.792201020289212e-05
ACNMLr,6.138972325164314,1.3819671869277954
ACOAD10m,25.302606397115994,13.603510856628418
ACOAD1fm,30.659365199931983,12.9310884475708
ACOAD8m,13.015083621382075,13.828241348266602
ACOAD9m,31.783473764978112,13.481528282165527
ACOAHi,-29.286793674873927,0.6617750525474548
ACOAO7p,-81.52731323242188,5.504184722900391
ACODA,-27.15393426672412,43.32899856567383
ACONTm,7.773114586058341,0.2903650403022766
ACOX22x,-196.57957458496094,13.835790634155273
ACOX2x,-382.6488342285156,13.478653907775879
ACP1_FMN_,-10.798421948173576,0.45861494541168213
ACRNtm,77.5888793844735,6.823937837907579e-06
ACS2,-8.09295716506665,0.785442590713501
ACSm,-7.83869070231674,0.3818947970867157
ACSOMT,-5.947314035983611,34.675437927246094
ACSRTNMT,-6.005152301867401,34.67544174194336
ACt2m,18.260417646467875,5.89194814892835e-06
ACt2r,-4.56596908118465,7.150497367547359e-06
ACtg,-14.58052476568752,7.756509148748592e-06
ACTLMO,-446.5901672712117,8.288002967834473
ACTNMO,-393.6302370881287,7.8056254386901855
ADA,-47.59484581812209,69.48611450195312
ADAe,-48.73544184306176,69.48611450195312
ADCim,-16.455701387161035,2.4954354763031006
ADEt,-5.701640886529868,7.4502909228613134e-06
ADEtl,48.48684650641377,6.817111625423422e-06
ADHAPtx,-7.012711715415824,1.2145844266342465e-05
ADK1m,0.2483894317477109,0.14452877640724182
ADK3,-1.3859279638349697,0.14454182982444763
ADK3m,0.24825467944549473,0.1445441097021103
ADKd,-1.3880457384322433,0.14455106854438782
ADMDC,-18.724458683533026,42.10665512084961
ADNCYC,2.0881029838987395,1.8783533573150635
ADNK1m,-15.106697761224424,0.36129698157310486
ADNt,-14.8347480032867,6.8171098064340185e-06
ADNt4,-16.58837980595717,6.8171098064340185e-06
ADNtl,126.31963349322473,3.0364608392119408e-06
ADNtm,59.33568837249368,6.762243174307514e-06
ADPGLC,-32.74990426383781,0.7818182110786438
ADPMAN,-32.74990044914055,0.7818176746368408
ADPRDPm,-32.29983590513268,0.7817936539649963
ADPRIBt,-18.17361359910468,1.2145844266342465e-05
ADPtx,-17.940856370765584,0.0
