kegg_class,final_name,type,gene
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,GOT1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,ASPA
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,ASS1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,PPAT
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,ADSL
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,AGXT
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,FOLH1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,IL4I1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,GFPT1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,AGXT2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,CAD
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,NIT2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,RIMKLB
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,NAT8L
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,GOT2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,RIMKLA
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,ASRGL1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,ASL
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,ASNS
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,GFPT2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,DDO
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",recon3d_gene,ALDH3A2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",recon3d_gene,ALDH2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",recon3d_gene,ALDH1B1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",recon3d_gene,ALDH9A1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",recon3d_gene,ALDH7A1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",recon3d_gene,FH
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",recon3d_gene,LGSN
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",recon3d_gene,GSR
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,GLS2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,GLS
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,GLUL
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,GLUD1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,GLUD2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,CPS1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,ABAT
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,GAD1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,GAD2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,GPT
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,GPT2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,ALDH5A1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,ALDH4A1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,GLS2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,GLS
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,GLUL
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,GLUD1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,GLUD2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,CPS1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,ABAT
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,GAD1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,GAD2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,GPT
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,GPT2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,ALDH5A1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",kegg_gene,ALDH4A1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",recon3d_gene,PLPBP
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",recon3d_gene,NAGS
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",recon3d_gene,ASPG
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",recon3d_gene,ACY3
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",recon3d_gene,ETNPPL
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,GOT1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,ASPA
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,ASS1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,AGXT
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,AGXT2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,GOT2
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,ASRGL1
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,ASL
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,ASNS
Canonical amino acid metabolism,"Alanine, aspartate and glutamate metabolism",both,DDO
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,MPI
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,CYB5R4
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,CYB5R3
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,GALK1
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,GALK2
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,GALT
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,GMDS
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,GPI
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,GMPPB
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,GMPPA
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,PGM2
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,NPL
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,FPGT
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,CYB5R2
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,CYB5R1
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,PGM1
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,PMM1
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,PMM2
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,CYB5RL
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,UGDH
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,kegg_gene,UGP2
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,recon3d_gene,ACP5
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,recon3d_gene,ACP6
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,recon3d_gene,MANSC1
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,recon3d_gene,OGA
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,HK2
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,AMDHD2
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,HK3
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,GNPDA1
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,GNE
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,CHIT1
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,GNPDA2
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,NANP
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,GALE
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,GCK
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,GFPT1
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,CHIA
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,HEXA
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,HEXB
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,HK1
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,HKDC1
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,NAGK
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,CMAS
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,PGM3
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,NANS
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,UXS1
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,GFPT2
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,RENBP
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,UAP1L1
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,UAP1
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,both,GNPNAT1
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G4F
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,LTC4S
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G3
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,GGT5
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,HPGDS
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G2D
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,GGT1
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PTGIS
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,ALOXE3
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G2F
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,TBXAS1
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PTGES2
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G12A
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G6
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G10
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G12B
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G4C
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,AKR1C3
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,JMJD7-PLA2G4B
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PTGES
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,ALOX12B
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G1B
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G2A
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G4A
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G5
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G4D
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G2E
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,HPGD
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G2C
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,LTA4H
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G4E
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PTGR2
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLB1
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PTGES3
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PTGDS
Lipid metabolism,Arachidonic acid metabolism,kegg_gene,PLA2G4B
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,DHRS4
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP1A1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP1A2
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP3A4
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP2D6
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP2A6
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP19A1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP4B1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP3A5
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP2A7
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP3A7
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP2F1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP2C18
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP1B1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP4Z1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP4X1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP2S1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP3A43
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP4F11
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP4F12
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,EPHX1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,FAAH
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,HSD17B12
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,GPX7
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,GPX3
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,PRDX6
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,GPX8
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,GPX2
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,GSTZ1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,MGST1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,GSTK1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,ACAA1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,HSD17B10
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,HADHA
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,ACOX3
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,ACOT7
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,ACOT8
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,ACOT2
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,ECHS1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,SLC27A1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,HSD17B4
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,BAAT
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,HADHB
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,HADH
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,SLC27A2
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,SLC27A3
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,AASDH
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,ACOX1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,ACSF2
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,SLC27A4
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,ACAA2
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,ACSF3
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,ACOT4
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,ACOT1
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,AMACR
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,MGST3
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,MGST2
Lipid metabolism,Arachidonic acid metabolism,recon3d_gene,CYP4F22
Lipid metabolism,Arachidonic acid metabolism,both,ALOX15B
Lipid metabolism,Arachidonic acid metabolism,both,ALOX15
Lipid metabolism,Arachidonic acid metabolism,both,CYP4F3
Lipid metabolism,Arachidonic acid metabolism,both,PTGS1
Lipid metabolism,Arachidonic acid metabolism,both,PTGS2
Lipid metabolism,Arachidonic acid metabolism,both,CYP4F2
Lipid metabolism,Arachidonic acid metabolism,both,CBR1
Lipid metabolism,Arachidonic acid metabolism,both,CBR3
Lipid metabolism,Arachidonic acid metabolism,both,ALOX5
Lipid metabolism,Arachidonic acid metabolism,both,GPX4
Lipid metabolism,Arachidonic acid metabolism,both,CYP2C19
Lipid metabolism,Arachidonic acid metabolism,both,CYP2B6
Lipid metabolism,Arachidonic acid metabolism,both,CYP2E1
Lipid metabolism,Arachidonic acid metabolism,both,CYP4F8
Lipid metabolism,Arachidonic acid metabolism,both,CYP2U1
Lipid metabolism,Arachidonic acid metabolism,both,ALOX12
Lipid metabolism,Arachidonic acid metabolism,both,CYP2J2
Lipid metabolism,Arachidonic acid metabolism,both,CYP2C8
Lipid metabolism,Arachidonic acid metabolism,both,CYP2C9
Lipid metabolism,Arachidonic acid metabolism,both,EPHX2
Lipid metabolism,Arachidonic acid metabolism,both,PTGR1
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,ABHD14A-ACY1
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,GPT
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,GLUL
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,ARG2
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,CPS1
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,ARG1
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,GLS2
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,GLS
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,GLUD1
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,NAGS
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,ACY1
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,ASL
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,GLUD2
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,ASS1
