Var1,Var2,Selected
h[c],2666,1
h2o[c],2059,1
atp[c],885,1
pi[c],720,1
adp[c],704,1
h[m],612,1
na1[c],591,1
na1[e],585,1
nadp[c],531,1
nadph[c],530,1
coa[c],515,1
h[r],483,1
o2[c],470,1
h[e],426,1
h2o[m],388,1
h2o[r],354,1
coa[m],350,1
h2o[l],305,1
hco3[c],297,1
hco3[e],295,1
crn[c],255,0
ppi[c],252,1
h[g],250,1
nad[m],247,1
nadh[m],245,1
nadph[r],230,1
nadp[r],230,1
nad[c],217,1
amp[c],217,1
h[x],214,1
coa[r],210,1
nadh[c],207,1
h2o[x],202,1
o2[r],190,1
accoa[m],188,0
fad[m],185,1
fadh2[m],184,1
coa[x],183,0
h[l],171,1
arg_L[c],171,0
h2o[e],167,1
phe_L[c],165,0
trp_L[c],164,0
gly[c],158,0
tyr_L[c],158,0
lys_L[c],150,0
leu_L[c],150,0
pro_L[c],150,0
ala_L[c],147,0
glu_L[c],145,0
gln_L[c],145,0
his_L[c],145,0
o2[x],143,1
cys_L[c],143,0
nadph[m],142,1
nadp[m],142,1
co2[c],141,1
met_L[c],141,0
ser_L[c],139,0
chsterol[r],136,0
thr_L[c],135,0
val_L[c],133,0
crn[m],131,0
asn_L[c],131,0
crn[r],131,0
h2o2[x],127,1
udp[g],126,0
nadh[x],124,1
nad[x],123,1
gthrd[c],122,0
ile_L[c],122,0
udp[c],114,0
atp[m],109,1
o2[m],108,1
accoa[x],107,0
h2o2[c],100,1
atp[r],90,1
nh4[c],88,1
asp_L[c],87,0
udp[r],86,0
cl[c],83,1
amet[c],82,0
glyc3p[c],81,0
udpglcur[r],81,0
cl[e],80,1
ahcys[c],79,0
pchol_hs[c],79,0
ppi[r],76,1
so4[l],75,1
leu_L[e],73,0
akg[c],72,0
chsterol[l],72,0
phe_L[e],72,0
adp[m],71,1
amp[r],71,1
chsterol[e],71,0
gly[e],68,0
ala_L[e],66,0
gln_L[e],64,0
ile_L[e],64,0
pro_L[e],64,0
cys_L[e],63,0
ser_L[e],63,0
asn_L[e],62,0
val_L[e],62,0
gdp[c],61,0
met_L[e],61,0
trp_L[e],61,0
tyr_L[e],61,0
thr_L[e],60,0
h[n],59,1
hom_L[c],59,0
Rtotal2[c],58,0
hom_L[e],58,0
xolest2_hs[e],58,0
citr_L[c],57,0
udpgal[g],56,0
cmp[c],56,0
HC02199[e],56,0
HC02200[e],56,0
HC02201[e],56,0
pap[c],55,0
gthrd[e],55,0
HC02199[c],55,0
HC02200[c],55,0
HC02201[c],55,0
paps[c],54,0
arachd[c],54,0
orn[c],51,0
udpglcur[c],51,0
